"filename", "language", "Log", "HTML", "Python", "Batch", "Verilog", "C++", "Ini", "C", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp1.2\mips1\src\D_CMP.v", "Verilog", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 2, 25
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp1.2\mips1\src\D_EXT.v", "Verilog", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp1.2\mips1\src\D_NPC.v", "Verilog", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 3, 5, 46
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp1.2\mips1\src\D_RF.v", "Verilog", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 3, 7, 61
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp1.2\mips1\src\E2M.v", "Verilog", 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 6, 67
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp1.2\mips1\src\E_ALU.v", "Verilog", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 3, 8, 66
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp1.2\mips1\src\E_MDU.v", "Verilog", 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 1, 8, 116
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp1.2\mips1\src\F2D.v", "Verilog", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 5, 38
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp1.2\mips1\src\F_IFU.v", "Verilog", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 1, 8, 43
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp1.2\mips1\src\M2W.v", "Verilog", 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 4, 68
